30323.350 0.000	1834	3399	3717	3770	3927	3872	4050	5046	6245
30338.157 0.000	1837	3386	3806	3802	4021	3866	4038	5035	6227
30352.963 0.000	1779	3318	3648	3807	3870	3860	4026	5037	6209
30367.769 0.000	1776	3293	3619	3735	3846	3854	4019	5038	6191
30382.576 0.000	1809	3336	3669	3754	3905	3848	4043	5040	6207
30397.382 0.000	1863	3402	3727	3778	4007	3865	4066	5042	6246
30412.188 0.000	1827	3389	3720	3734	3965	3882	4090	5052	6284
30426.995 0.000	1843	3381	3711	3776	3916	3899	4114	5062	6323
30441.801 0.000	1876	3398	3762	3814	3973	3917	4124	5072	6357
30456.607 0.000	1862	3475	3773	3817	3940	3933	4125	5082	6363
30471.414 0.000	1860	3420	3762	3764	3921	3948	4126	5108	6369
30486.220 0.000	1861	3383	3724	3777	3946	3963	4127	5143	6376
30501.026 0.000	1861	3411	3797	3864	4002	3978	4132	5178	6382
30515.833 0.000	1890	3441	3811	3865	4018	3993	4169	5213	6410
30530.639 0.000	1907	3470	3749	3893	3994	4015	4206	5245	6449
30545.445 0.000	1907	3497	3809	3942	4059	4038	4243	5258	6488
30560.252 0.000	1944	3508	3901	3992	4118	4061	4280	5271	6526
30575.058 0.000	1955	3525	4001	4009	4169	4083	4287	5284	6555
30589.864 0.000	1945	3543	3942	4007	4203	4089	4271	5297	6531
30604.671 0.000	1911	3542	3944	3996	4169	4074	4256	5286	6508
30619.477 0.000	1904	3486	3951	3941	4100	4058	4241	5261	6485
30634.283 0.000	1908	3436	3836	3888	4012	4043	4226	5237	6462
30649.090 0.000	1918	3466	3811	3870	4024	4028	4217	5213	6450
30663.896 0.000	1957	3521	3844	3921	4062	4019	4208	5193	6443
30678.702 0.000	1977	3564	3941	3948	4098	4011	4199	5187	6436
30693.509 0.000	1951	3574	3898	3929	4089	4003	4190	5182	6429
30708.315 0.000	1861	3478	3829	3856	4047	3995	4191	5176	6426
30723.121 0.000	1822	3419	3761	3823	3971	3996	4202	5171	6440
30737.927 0.000	1843	3411	3781	3833	4001	4009	4213	5182	6453
30752.734 0.000	1892	3519	3852	3928	4054	4022	4223	5201	6466
30767.540 0.000	1920	3555	3968	3976	4115	4035	4234	5219	6480
30782.346 0.000	1926	3536	3913	3984	4066	4048	4245	5238	6499
30797.153 0.000	1904	3477	3881	3937	4069	4058	4257	5255	6520
30811.959 0.000	1944	3515	3875	3993	4102	4068	4269	5267	6542
30826.765 0.000	1977	3576	3945	4055	4131	4078	4281	5280	6563
30841.572 0.000	1931	3584	3952	4018	4176	4088	4289	5292	6582
30856.378 0.000	1952	3632	3946	4050	4201	4094	4294	5305	6589
30871.184 0.000	1981	3659	4002	4066	4166	4094	4299	5315	6597
30885.991 0.000	2002	3627	4021	4022	4155	4094	4304	5324	6604
30900.797 0.000	2004	3615	4004	4015	4140	4094	4309	5333	6611
30915.603 0.000	1985	3575	3927	3992	4114	4093	4322	5341	6617
30930.410 0.000	1950	3501	3869	3949	4077	4117	4334	5357	6622
30945.216 0.000	1939	3496	3857	3920	4063	4143	4347	5392	6627
30960.022 0.000	1966	3555	3906	3956	4078	4169	4360	5427	6632
30974.829 0.000	2017	3662	3956	4043	4184	4195	4395	5462	6671
30989.635 0.000	2078	3777	4046	4124	4282	4241	4455	5498	6782
31004.441 0.000	2173	3909	4176	4227	4371	4309	4515	5570	6893
31019.248 0.000	2286	4053	4317	4343	4427	4378	4575	5647	7006
31034.054 0.000	2411	4211	4503	4470	4565	4446	4634	5724	7119
31048.860 0.000	2539	4394	4690	4611	4713	4515	4650	5802	7128
31063.667 0.000	2607	4423	4696	4651	4775	4506	4665	5841	7123
31078.473 0.000	2596	4137	4612	4437	4638	4496	4681	5825	7119
31093.279 0.000	2581	4251	4527	4465	4534	4487	4696	5808	7115
31108.086 0.000	2513	4298	4565	4479	4585	4477	4684	5792	7096
31122.892 0.000	2405	4197	4485	4400	4515	4453	4644	5776	7057
31137.698 0.000	2324	4017	4383	4291	4425	4416	4605	5740	7019
31152.505 0.000	2228	3916	4303	4219	4328	4378	4566	5702	6981
31167.311 0.000	2136	3878	4240	4182	4367	4341	4528	5664	6943
31182.117 0.000	2085	3825	4146	4120	4322	4304	4539	5626	6957
31196.923 0.000	2111	3840	4010	4126	4234	4316	4550	5613	6973
31211.730 0.000	2139	3894	4155	4187	4392	4329	4561	5627	6989
31226.536 0.000	2135	3960	4263	4301	4458	4341	4573	5642	7005
31241.342 0.000	2167	3959	4322	4313	4453	4353	4561	5656	6987
31256.149 0.000	2142	3894	4276	4261	4364	4347	4529	5670	6938
31270.955 0.000	2049	3733	4142	4147	4256	4324	4497	5650	6889
31285.761 0.000	2010	3681	3986	4028	4151	4300	4464	5630	6841
31300.568 0.000	2030	3701	3989	3980	4075	4276	4433	5609	6797
31315.374 0.000	2088	3798	4113	4074	4172	4253	4423	5588	6801
31330.180 0.000	2130	3894	4253	4177	4277	4219	4413	5552	6804
31344.987 0.000	2168	3916	4303	4227	4347	4186	4403	5505	6806
31359.793 0.000	2179	3869	4157	4209	4282	4152	4393	5458	6808
31374.599 0.000	2118	3787	4034	4098	4199	4118	4378	5411	6788
31389.406 0.000	2104	3742	4028	4010	4101	4099	4359	5367	6756
